Score,Elapsed Time,Time (CST)
5,6.62305474281311,19:14:46
14,22.607405185699463,19:15:09
7,13.321300983428955,19:16:05
3,3.8830037117004395,19:16:10
10,18.434295415878296,19:16:29
1,1.1692142486572266,19:16:31
7,15.150408267974854,19:16:46
6,9.908655166625977,19:16:57
4,10.149386644363403,19:17:08
11,29.730570793151855,19:17:38
6,11.631880760192871,19:17:58
5,13.694379329681396,19:18:12
12,28.155296802520752,19:18:41
31,99.2730278968811,19:20:21
5,6.6914002895355225,19:27:13
5,5.421479940414429,19:27:22
1,0.38909244537353516,19:27:23
44,94.22833514213562,19:28:58
6,14.650900840759277,19:29:59
21,46.58112168312073,19:30:47
1,1.2126665115356445,19:30:48
27,68.00749087333679,19:31:59
22,75.24794292449951,19:33:16
22,51.834150552749634,19:35:26
6,11.044100522994995,19:35:41
1,1.1684892177581787,19:35:45
1,1.172534704208374,19:35:56
7,15.143008470535278,19:36:14
68,166.20716977119446,19:39:01
3,4.593807935714722,19:39:18
15,43.7179172039032,19:40:03
5,11.281860828399658,19:40:15
1,1.1692938804626465,19:40:17
1,1.7515287399291992,19:40:19
3,3.8847694396972656,19:40:24
18,56.27382516860962,19:41:21
2,4.013147592544556,19:41:32
2,3.23954439163208,19:41:36
8,14.036513090133667,19:41:51
2,2.0779945850372314,19:41:59
7,12.38200569152832,19:42:12
3,5.571279764175415,19:42:19
4,5.63296103477478,19:42:25
1,0.45668554306030273,19:42:26
11,28.303030490875244,19:42:55
1,1.8128440380096436,19:42:57
15,28.761401176452637,19:43:27
4,6.29547381401062,19:43:34
8,13.598535776138306,19:44:17
15,27.560981273651123,19:44:45
13,28.139753341674805,19:45:16
32,89.87530755996704,19:46:46
12,23.942319631576538,19:47:16
22,46.273778200149536,19:48:11
1,1.220107078552246,19:48:12
43,96.31451272964478,19:49:52
23,45.3809814453125,19:50:53
1,1.1713793277740479,19:51:22
2,3.7801668643951416,19:51:27
1,1.2466330528259277,19:51:29
1,1.165947437286377,19:51:33
4,4.00349760055542,19:51:37
3,4.7242138385772705,19:51:43
1,1.1653616428375244,19:51:45
9,12.801324129104614,19:51:58
1,2.902024269104004,19:52:02
23,49.565112590789795,19:52:53
59,135.7218632698059,19:55:11
16,21.080228328704834,19:55:55
3,6.142924070358276,19:56:02
17,30.721104621887207,19:56:33
1,1.9496259689331055,19:56:36
13,24.20021390914917,19:57:04
43,103.91682934761047,19:58:48
1,1.1621983051300049,19:59:12
11,17.624019861221313,19:59:31
10,16.03932547569275,19:59:48
20,39.51825737953186,20:00:28
9,13.324872016906738,20:00:42
2,4.070855140686035,20:00:47
15,31.904090881347656,20:01:20
13,26.133532524108887,20:01:46
7,14.700490713119507,20:02:02
17,46.82786822319031,20:02:50
1,1.164818525314331,20:02:52
3,7.182041168212891,20:03:00
9,18.66178297996521,20:03:20
1,2.52669358253479,20:03:23
